time,uninter_price,counts,location,tier,distance,sign,type,age,land_square,building_square,room,hall,toilet,total_price,berth_square,berth_price,intered_price
10110,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10111,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10112,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10113,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10114,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10115,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10116,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10117,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10118,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10119,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10120,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10121,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10122,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10123,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10124,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10125,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10126,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10127,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10128,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10129,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10130,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10131,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10132,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10133,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10134,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10135,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10136,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10137,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10138,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10139,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10140,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10141,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10142,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10143,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10144,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10145,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10146,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10147,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10148,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10149,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10150,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10151,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10152,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10153,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10210,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10211,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10212,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10213,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10214,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10215,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10216,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10217,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10218,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10219,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10220,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10221,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10222,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10223,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10224,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10225,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10226,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10227,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10228,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10229,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10230,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10231,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10232,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10233,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10234,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10235,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10236,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10237,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10238,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10239,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10240,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10241,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10242,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10243,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10244,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10245,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10246,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10247,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10248,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10249,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10250,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10251,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10252,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10253,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10310,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10311,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10312,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10313,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10314,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10315,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10316,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10317,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10318,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10319,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10320,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10321,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10322,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10323,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10324,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10325,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10326,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10327,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10328,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10329,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10330,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10331,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10332,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10333,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10334,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10335,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10336,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
10337,0,0,13,5,187.14,1,2,0,0,0,0,0,0,0,0,0,0
